name,id,brewer,alcohol_by_volume,style,category,country
Newcastle Brown Ale,4254,Scottish & Newcastle Breweries,4.6999998093,American-Style Brown Ale,North American Ale,United Kingdom
Harvest Ale 2006,202,JW Lees and Co (Brewers) Ltd.,11.600000381,Old Ale,British Ale,United Kingdom
IPA,229,Ridgeway Brewing,5.5,American-Style India Pale Ale,North American Ale,United Kingdom
Harvest Ale 2005 (Calvados),330,JW Lees and Co (Brewers) Ltd.,11.5,NA,NA,United Kingdom
Moonraker,448,JW Lees and Co (Brewers) Ltd.,7.5,NA,NA,United Kingdom
Old Engine Oil,449,Harviestoun Brewery,6.0,Porter,Irish Ale,United Kingdom
Old Man Ale,476,Coniston Brewing,4.8000001907,NA,NA,United Kingdom
Strongbow Cider,4507,Bulmer Cider,5.3000001907,Fruit Beer,Other Style,United Kingdom
Bass Pale Ale,4417,Bass Brewers,5.0,Classic English-Style Pale Ale,British Ale,United Kingdom
Entire Butt English Porter,2351,Salopian Brewery,0.0,Porter,Irish Ale,United Kingdom
Bah Humbug,445,Wychwood Brewery,6.0,Old Ale,British Ale,United Kingdom
Hardcore IPA,5707,BrewDog Ltd,9.0,Imperial or Double India Pale Ale,North American Ale,United Kingdom
Double Dark,3090,Caledonian Brewing,0.0,NA,NA,United Kingdom
Skullsplitter Ale,3108,Orkney Brewery,8.5,Scotch Ale,British Ale,United Kingdom
Whitstable Oyster Stout,1797,Whitstable Brewery,0.0,American-Style Stout,North American Ale,United Kingdom
Bear Ale,1949,Traquair House Brewery,5.0,NA,NA,United Kingdom
Thomas Sykes Barleywine,2052,Burton Bridge Brewery,0.0,NA,NA,United Kingdom
Harvest Ale 1998,2259,JW Lees and Co (Brewers) Ltd.,11.5,Old Ale,British Ale,United Kingdom
Conquest Ale,2337,George Gale & Company,9.0,Old Ale,British Ale,United Kingdom
Pride of Romsey IPA,2369,Hampshire Brewery,5.0,American-Style India Pale Ale,North American Ale,United Kingdom
India Pale Ale,2656,"Fuller, Smith & Turner PBC",4.8000001907,American-Style Pale Ale,North American Ale,United Kingdom
Flag Porter 1825 Original,2665,Elgood & Sons,0.0,Porter,Irish Ale,United Kingdom
Proper Job,5513,St. Austell Brewery,5.5,English-Style India Pale Ale,British Ale,United Kingdom
HSD Hicks Special Draught,5514,St. Austell Brewery,5.0,Ordinary Bitter,British Ale,United Kingdom
Ale,1378,Black Sheep Brewery,4.4000000954,NA,NA,United Kingdom
Finest Bitter,5887,Cains,4.0,Ordinary Bitter,British Ale,United Kingdom
Alba Scots Pine Ale,3355,Williams Brothers Brewing Company,7.5,NA,NA,United Kingdom
Royal Oak Pale Ale,3548,"Eldridge, Pope and Co.",0.0,NA,NA,United Kingdom
Duchy Originals Organic English Ale,4340,Wychwood Brewery Company Ltd,5.0,Extra Special Bitter,British Ale,United Kingdom
Winter Welcome 1996-1997,3703,Samuel Smith Old Brewery (Tadcaster),0.0,NA,NA,United Kingdom
Radgie Gadgie,2033,Mordue Brewery,0.0,NA,NA,United Kingdom
Organic Ale,4585,Samuel Smith Old Brewery (Tadcaster),5.0,Golden or Blonde Ale,North American Ale,United Kingdom
Taddy Porter,2241,Samuel Smith Old Brewery (Tadcaster),5.0,Porter,Irish Ale,United Kingdom
House Ale,2245,Traquair House Brewery,7.1999998093,Scotch Ale,British Ale,United Kingdom
Old Peculier,2323,T&R; Theakston,5.6999998093,NA,NA,United Kingdom
Kinmount Willie Stout,2642,Broughton Ales,0.0,American-Style Stout,North American Ale,United Kingdom
Tokyo,5711,BrewDog Ltd,12.0,American-Style Imperial Stout,North American Ale,United Kingdom
Fraoch Heather Ale,3109,Williams Brothers Brewing Company,5.0,NA,NA,United Kingdom
Grozet Gooseberry and Wheat Ale,3341,Williams Brothers Brewing Company,5.0,Light American Wheat Ale or Lager,Other Style,United Kingdom
Black Cat,2568,Moorhouse's Brewery (Burnley),3.4000000954,English-Style Pale Mild Ale,British Ale,United Kingdom
Long Leg English Fuggles Hop Ale,139,Camerons Brewery Company,0.0,NA,NA,United Kingdom
Tanners Jack,191,Morland and Co.,4.4000000954,NA,NA,United Kingdom
Harvest Ale 2005 (Whisky),329,JW Lees and Co (Brewers) Ltd.,11.5,NA,NA,United Kingdom
India Pale Ale,452,St Peter's Brewery,0.0,American-Style Pale Ale,North American Ale,United Kingdom
Nightmare,457,Hambleton Ales,5.0,Porter,Irish Ale,United Kingdom
Wychcraft,483,Wychwood Brewery,0.0,NA,NA,United Kingdom
Border Gold Oranic Ale,5277,Broughton Ales,6.0,Golden or Blonde Ale,North American Ale,United Kingdom
Meantime Coffee,5480,Meantime Brewing Company Limited,6.0,Porter,Irish Ale,United Kingdom
India Ale,3346,Samuel Smith Old Brewery (Tadcaster),0.0,American-Style Pale Ale,North American Ale,United Kingdom
Jacobite Ale,3354,Traquair House Brewery,8.0,NA,NA,United Kingdom
Adnam's Suffolk Special Bitter,4005,Adnams & Co.,4.5,Extra Special Bitter,British Ale,United Kingdom
Nut Brown Ale,4006,Adnams & Co.,3.2000000477,American-Style Brown Ale,North American Ale,United Kingdom
Adnams Fisherman,4007,Adnams & Co.,4.5,American-Style Amber/Red Ale,North American Ale,United Kingdom
Henley Ale,2767,WH Brakspear & Sons,0.0,NA,NA,United Kingdom
IPA,2885,Tollemache and Cobbold Brewery,0.0,American-Style India Pale Ale,North American Ale,United Kingdom
Winter Welcome 2007-2008,7,Samuel Smith Old Brewery (Tadcaster),6.0,NA,NA,United Kingdom
Seriously Bad Elf,67,Ridgeway Brewing,9.0,NA,NA,United Kingdom
Lump of Coal Dark Holiday Stout,104,Ridgeway Brewing,8.0,American-Style Stout,North American Ale,United Kingdom
2008 Culture Beer,5891,Cains,5.0,Ordinary Bitter,British Ale,United Kingdom
Master Brew Bitter,3018,Shepherd Neame,4.0,NA,NA,United Kingdom
Abbot Ale,3478,Greene King,0.0,NA,NA,United Kingdom
Special Reserve Anniversary Porter,3547,McMullen & Sons,0.0,Porter,Irish Ale,United Kingdom
Lager,2890,Tennent Caledonian Brewery,0.0,American-Style Lager,North American Lager,United Kingdom
A. LeCoq Imperial Extra Double Stout 1999,2379,Harvey & Son (Lewes),9.0,American-Style Stout,North American Ale,United Kingdom
Winter Welcome 2008-2009,5586,Samuel Smith Old Brewery (Tadcaster),6.0,Winter Warmer,Other Style,United Kingdom
Hop Rocker,5706,BrewDog Ltd,5.5,American-Style Lager,North American Lager,United Kingdom
77 Lager,5709,BrewDog Ltd,4.9000000954,German-Style Pilsener,German Lager,United Kingdom
Wells Banana Bread Beer,5839,Wells and (&) Youngs Brewing Company Ltd.,5.1999998093,Fruit Beer,Other Style,United Kingdom
Special Reserve Oatmeal Ale,3545,McMullen & Sons,0.0,American-Style Pale Ale,North American Ale,United Kingdom
Elizabethan Ale,2354,Harvey & Son (Lewes),8.1000003815,NA,NA,United Kingdom
1845 Celebration Ale,2559,"Fuller, Smith & Turner PBC",0.0,NA,NA,United Kingdom
The Only Oat Malt Stout In The World,2712,Maclay and Co.,0.0,American-Style Stout,North American Ale,United Kingdom
Traditional Welsh Ale,2891,SA Brain & Co. Ltd.,0.0,NA,NA,United Kingdom
Adnams Explorer,4004,Adnams & Co.,5.5,Ordinary Bitter,British Ale,United Kingdom
Adnams Tally Ho,4008,Adnams & Co.,7.5,American-Style Barley Wine Ale,North American Ale,United Kingdom
Red Barrel,3595,Watney Brewery,0.0,NA,NA,United Kingdom
Victory Ale,3019,George Bateman and Son Ltd.,5.1999998093,NA,NA,United Kingdom
Wells Bombardier English Bitter,5101,Wells and (&) Youngs Brewing Company Ltd.,5.1999998093,Special Bitter or Best Bitter,British Ale,United Kingdom
Fuller's ESB,5455,"Fuller, Smith & Turner PBC",4.5,Extra Special Bitter,British Ale,United Kingdom
Paradox Speyside,5704,BrewDog Ltd,10.0,American-Style Imperial Stout,North American Ale,United Kingdom
Tactical Nuclear Penguin,5713,BrewDog Ltd,32.0,American-Style Imperial Stout,North American Ale,United Kingdom
Thames Welsh Ale,2370,Felinfoel Brewery Co Ltd,6.0,NA,NA,United Kingdom
London Porter,2560,"Fuller, Smith & Turner PBC",5.4000000954,Porter,Irish Ale,United Kingdom
St Peter's Organic Ale,919,St Peter's Brewery,4.5,Classic English-Style Pale Ale,British Ale,United Kingdom
Old-Style Porter,920,St Peter's Brewery,5.0999999046,Porter,Irish Ale,United Kingdom
Tribute Premium Cornish Ale,5512,St. Austell Brewery,4.1999998093,Ordinary Bitter,British Ale,United Kingdom
Punk IPA,5702,BrewDog Ltd,6.0,American-Style India Pale Ale,North American Ale,United Kingdom
IPA,5889,Cains,3.5,English-Style India Pale Ale,British Ale,United Kingdom
Dark Mild,5890,Cains,3.2000000477,English-Style Dark Mild Ale,British Ale,United Kingdom
Old Speckled Hen,3121,Morland and Co.,5.1999998093,Classic English-Style Pale Ale,British Ale,United Kingdom
AK Original Bitter,3549,McMullen & Sons,0.0,NA,NA,United Kingdom
East India IPA,2032,Whitstable Brewery,0.0,American-Style India Pale Ale,North American Ale,United Kingdom
St. Andrews Ale,2246,Belhaven Brewery,4.5999999046,NA,NA,United Kingdom
Scottish Ale,2247,Belhaven Brewery,3.9000000954,Scottish-Style Light Ale,British Ale,United Kingdom
Harvest Ale 1999,2260,JW Lees and Co (Brewers) Ltd.,11.5,Old Ale,British Ale,United Kingdom
Harvest Ale 1997,2284,JW Lees and Co (Brewers) Ltd.,11.5,Old Ale,British Ale,United Kingdom
Refreshing Summer Ale,2657,"Fuller, Smith & Turner PBC",3.9000000954,NA,NA,United Kingdom
Storm Super Premium Malt Liquor,3616,Lanchester Brewing,10.0,American-Style Lager,North American Lager,United Kingdom
Norvig Ale,2667,Elgood & Sons,0.0,NA,NA,United Kingdom
London Pride,2762,"Fuller, Smith & Turner PBC",4.6999998093,NA,NA,United Kingdom
Ale,2764,Whitbread Beer Company,0.0,NA,NA,United Kingdom
