duration,start_date,end_date,start_station_number,start_station,end_station_number,end_station,bike_number,member_type
381,2018-12-07 09:05:35,2018-12-07 09:11:56,31237,25th St & Pennsylvania Ave NW,31233,17th & K St NW / Farragut Square,W20799,Member
268,2018-12-17 06:22:14,2018-12-17 06:26:43,31265,5th St & Massachusetts Ave NW,31621,4th & D St NW / Judiciary Square,W21707,Member
244,2018-12-18 15:38:54,2018-12-18 15:42:58,31245,7th & R St NW / Shaw Library,31281,8th & O St NW,W21192,Member
515,2018-12-27 17:22:19,2018-12-27 17:30:54,31624,North Capitol St & F St NW,31269,3rd St & Pennsylvania Ave SE,W20469,Member
175,2018-12-24 10:53:38,2018-12-24 10:56:34,31608,8th & Eye St SE / Barracks Row,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,W22728,Member
924,2018-12-13 08:34:25,2018-12-13 08:49:49,31600,5th & K St NW,31110,20th St & Florida Ave NW,W23182,Member
123,2018-12-29 13:49:10,2018-12-29 13:51:13,31249,Jefferson Memorial,31249,Jefferson Memorial,W00322,Casual
201,2018-12-18 08:47:40,2018-12-18 08:51:02,31305,Connecticut Ave & Newark St NW / Cleveland Park,31307,3000 Connecticut Ave NW / National Zoo,W20209,Member
7695,2018-12-24 10:11:47,2018-12-24 12:20:03,31204,20th & E St NW,31288,4th St & Madison Dr NW,W22931,Casual
438,2018-12-06 23:32:47,2018-12-06 23:40:06,31241,Thomas Circle,31109,7th & T St NW,W22932,Member
572,2018-12-02 15:51:46,2018-12-02 16:01:19,31250,20th & L St NW,31214,17th & Corcoran St NW,W21380,Member
1192,2018-12-11 09:09:16,2018-12-11 09:29:09,31519,1st & O St NW,31650,1st & M St SE,W23078,Member
230,2018-12-07 12:10:18,2018-12-07 12:14:09,31223,Convention Center / 7th & M St NW,31245,7th & R St NW / Shaw Library,W23553,Member
462,2018-12-30 15:38:30,2018-12-30 15:46:12,31038,Glebe Rd & 11th St N,31921,Westover Library / Washington Blvd & N McKinley Rd,W20156,Member
1337,2018-12-19 19:37:48,2018-12-19 20:00:06,31129,15th St & Pennsylvania Ave NW/Pershing Park,31655,New Jersey Ave & F St NW,W23686,Casual
828,2018-12-23 13:59:52,2018-12-23 14:13:41,31228,8th & H St NW,31129,15th St & Pennsylvania Ave NW/Pershing Park,W23967,Member
4484,2018-12-08 13:23:10,2018-12-08 14:37:55,31128,23rd & M St NW,31218,L'Enfant Plaza / 7th & C St SW,W00488,Member
4026,2018-12-29 14:39:20,2018-12-29 15:46:26,31293,31st & Water St NW,31293,31st & Water St NW,W24148,Member
1012,2018-12-21 17:18:44,2018-12-21 17:35:36,31655,New Jersey Ave & F St NW,31500,4th & W St NE,W20174,Member
1364,2018-12-29 10:49:12,2018-12-29 11:11:57,31258,Lincoln Memorial,31292,22nd St & Constitution Ave NW,W00170,Casual
344,2018-12-14 06:45:20,2018-12-14 06:51:04,31302,Wisconsin Ave & Newark St NW,31308,39th & Veazey St NW,W23229,Member
161,2018-12-01 08:14:43,2018-12-01 08:17:24,31113,Columbia Rd & Belmont St NW,31110,20th St & Florida Ave NW,W21017,Member
677,2018-12-17 18:58:35,2018-12-17 19:09:53,31201,15th & P St NW,31114,18th St & Wyoming Ave NW,W00681,Member
852,2018-12-18 06:43:45,2018-12-18 06:57:57,31923,Columbia Pike & S Taylor St,31037,Ballston Metro / N Stuart & 9th St N,W23179,Member
1196,2018-12-28 18:32:33,2018-12-28 18:52:30,31905,Kennebec St & 11th St N,31074,TJ Cmty Ctr / 2nd St & S Old Glebe Rd,W23478,Member
802,2018-12-10 10:24:13,2018-12-10 10:37:35,31101,14th & V St NW,31224,19th & L St NW,W00598,Member
1296,2018-12-17 13:17:45,2018-12-17 13:39:22,31016,Clarendon Blvd & Pierce St,31077,Iwo Jima Memorial/N Meade & 14th St N,W00161,Member
2841,2018-12-26 13:25:50,2018-12-26 14:13:12,31243,4th & C St SW,31272,Washington & Independence Ave SW/HHS,W23752,Member
153,2018-12-06 17:45:27,2018-12-06 17:48:00,31104,Adams Mill & Columbia Rd NW,31121,Calvert St & Woodley Pl NW,W01349,Member
119,2018-12-05 12:58:44,2018-12-05 13:00:44,31005,Pentagon City Metro / 12th & S Hayes St,31004,Aurora Hills Community Ctr/18th & Hayes St,W20216,Member
555,2018-12-14 20:36:58,2018-12-14 20:46:13,31281,8th & O St NW,31118,3rd & Elm St NW,W24038,Member
479,2018-12-21 19:05:15,2018-12-21 19:13:14,31238,14th & G St NW,31228,8th & H St NW,W20779,Member
647,2018-12-31 22:35:51,2018-12-31 22:46:39,31641,2nd St & Massachusetts Ave NE,31505,Eckington Pl & Q St NE,W21385,Member
581,2018-12-21 06:52:18,2018-12-21 07:01:59,31623,Columbus Circle / Union Station,31208,M St & New Jersey Ave SE,W22652,Member
589,2018-12-17 16:51:49,2018-12-17 17:01:39,31637,North Capitol St & G Pl NE,31243,4th & C St SW,W23659,Member
388,2018-12-17 18:54:19,2018-12-17 19:00:48,31223,Convention Center / 7th & M St NW,31120,10th & Florida Ave NW,E00101,Member
306,2018-12-24 11:50:40,2018-12-24 11:55:46,31110,20th St & Florida Ave NW,31296,Columbia & Ontario Rd NW,W23139,Member
233,2018-12-25 11:25:50,2018-12-25 11:29:44,31011,Crystal Dr & 23rd St S,31000,Eads St & 15th St S,W22927,Member
1218,2018-12-08 21:34:27,2018-12-08 21:54:46,31406,14th & Upshur St NW,31241,Thomas Circle,W22133,Member
298,2018-12-09 17:49:37,2018-12-09 17:54:35,31089,Court House Metro / 15th & N Uhle St ,31023,Fairfax Dr & Wilson Blvd,W23723,Member
465,2018-12-13 21:25:37,2018-12-13 21:33:22,31232,7th & F St NW / National Portrait Gallery,31244,4th & E St SW,W22948,Member
300,2018-12-10 14:58:24,2018-12-10 15:03:25,31265,5th St & Massachusetts Ave NW,31655,New Jersey Ave & F St NW,W21045,Member
1002,2018-12-18 19:47:40,2018-12-18 20:04:22,31518,New York Ave & Hecht Ave NE,31245,7th & R St NW / Shaw Library,65009,Member
274,2018-12-08 14:41:14,2018-12-08 14:45:49,31517,Union Market/6th St & Neal Pl NE,31615,6th & H St NE,W01445,Member
856,2018-12-22 12:12:32,2018-12-22 12:26:49,31110,20th St & Florida Ave NW,31602,Park Rd & Holmead Pl NW,W00812,Member
1228,2018-12-17 07:47:23,2018-12-17 08:07:51,31289,Henry Bacon Dr & Lincoln Memorial Circle NW,31314,34th & Water St NW,W24050,Member
391,2018-12-16 17:59:54,2018-12-16 18:06:25,31101,14th & V St NW,31200,Massachusetts Ave & Dupont Circle NW,W23415,Member
417,2018-12-31 15:53:07,2018-12-31 16:00:04,31603,1st & M St NE,31522,2nd St & Seaton Pl NE,W21667,Member
345,2018-12-03 09:35:58,2018-12-03 09:41:44,31246,M St & Pennsylvania Ave NW,31297,Virginia Ave & 25th St NW,W22272,Member
108,2018-12-26 21:44:58,2018-12-26 21:46:46,31201,15th & P St NW,31282,16th & R St NW,W20406,Member
541,2018-12-21 16:01:26,2018-12-21 16:10:27,31506,1st & Rhode Island Ave NW,31281,8th & O St NW,W21176,Member
428,2018-12-11 20:26:08,2018-12-11 20:33:16,31296,Columbia & Ontario Rd NW,31124,14th & Irving St NW,W23644,Casual
304,2018-12-19 21:45:49,2018-12-19 21:50:53,31651,11th & Park Rd NW,31401,14th St & Spring Rd NW,W23990,Member
